Zip3,SCF
"005, 117-119",SCF MID-ISLAND NY 117
006-009,SCF SAN JUAN PR 006
010-013,SCF SPRINGFIELD MA 010
014-017,SCF CENTRAL MA 015
"018, 019, 055",SCF MIDDLESEX-ESX MA 018
"020, 023",SCF BROCKTON MA 023
"021, 022",SCF BOSTON MA 021
24,NORTHWEST BOS MA 024
"025, 026",SCF CAPE COD MA 025
027-029,SCF PROVIDENCE RI 028
030-034,SCF MANCHESTER NH 030
"035-037, 050-053, 057-059",SCF WHITE RIV JCT VT 050
"038, 039",SCF PORTSMOUTH NH 038
"040-043, 045, 048",SCF PORTLAND ME 040
"044, 046, 047, 049",SCF BANGOR ME 044
"054, 056",SCF BURLINGTON VT 054
060-062,SCF HARTFORD CT 060
063-066,SCF SOUTHERN CT 064
67,WATERBURY CT 067
"068, 069",SCF STAMFORD CT 068
070-073,SCF NEWARK NJ 070
074-076,SCF NNJ METRO NJ 076
77,MONMOUTH NJ 077
"078, 079",SCF WEST JERSEY NJ 079
080-084,SCF SOUTH JERSEY NJ 080
085-087,SCF TRENTON NJ 085
"088, 089",SCF KILMER NJ 088
100-102,SCF NEW YORK NY 100
103,STATEN ISLAND NY 103
104,BRONX NY 104
105-109,SCF WESTCHESTER NY 105
"110, 111, 113, 114",SCF QUEENS NY 110
"112, 116",SCF BROOKLYN NY 112
115,WESTERN NASSAU NY 115
120-123,SCF ALBANY NY 120
124-127,SCF MID-HUDSON NY 125
128,GLENS FALLS NY 128
129,PLATTSBURGH NY 129
130-132,SCF SYRACUSE NY 130
133-135,SCF UTICA NY 133
136,WATERTOWN NY 136
137-139,SCF BINGHAMTON NY 137
140-143,SCF BUFFALO NY 140
144-146,SCF ROCHESTER NY 144
147,JAMESTOWN NY 147
"148, 149",SCF ELMIRA NY 148
150-154,SCF PITTSBURGH PA 150
"155, 157-159",SCF JOHNSTOWN PA 159
156,GREENSBURG PA 156
160-162,SCF NEW CASTLE PA 161
"163-165, 167",SCF ERIE PA 164
"166, 168",SCF ALTOONA PA 166
"169, 177",SCF WILLIAMSPORT PA 177
"170-172, 178",SCF HARRISBURG PA 170
173-176,SCF LANCASTER PA 173
"179, 195, 196",SCF READING PA 195
"180, 181, 183",SCF LEHIGH VALLEY PA 180
"182, 186, 187",SCF WILKES BARRE PA 186
"184, 185, 188",SCF SCRANTON PA 184
"189, 193, 194",SCF SOUTHEASTERN PA 189
190-192,SCF PHILADELPHIA PA 190
197-199,SCF WILMINGTON DE 197
200,WASHINGTON DC 200
202-205,SCF WASHINGTON DC 202
201,DULLES VA 201
"206, 207",SCF SOUTHERN MD MD 207
"208, 209",SCF SUBURBAN MD MD 208
"210, 211, 214",SCF LINTHICUM MD 210
"212, 219",SCF BALTIMORE MD 212
"215, 267",SCF CUMBERLAND MD 215
"216, 218",SCF EASTERN SHORE MD 216
217,FREDERICK MD 217
220-223,SCF NORTHERN VA VA 220
"224, 225, 230-232, 238",SCF RICHMOND VA 230
226,WINCHESTER VA 226
227,CULPEPER VA 227
"228, 229, 244",SCF CHARLOTTESVLE VA 229
233-237,SCF NORFOLK VA 233
239,FARMVILLE VA 239
"240, 241, 243",SCF ROANOKE VA 240
242,BRISTOL VA 242
245,LYNCHBURG VA 245
246-248,SCF BLUEFIELD WV 247
249,LEWISBURG WV 249
250-253,SCF CHARLESTON WV 250
254,MARTINSBURG WV 254
255-257,SCF HUNTINGTON WV 255
"258, 259",SCF BECKLEY WV 258
260,WHEELING WV 260
261,PARKERSBURG WV 261
262-265,SCF CLARKSBURG WV 263
266,GASSAWAY WV 266
268,PETERSBURG WV 268
270-274,SCF GREENSBORO NC 270
275-277,SCF RALEIGH NC 275
"278, 279",SCF ROCKY MOUNT NC 278
"280-282, 297",SCF CHARLOTTE NC 280
"283, 284",SCF FAYETTEVILLE NC 283
285,KINSTON NC 285
286,HICKORY NC 286
287-289,SCF ASHEVILLE NC 287
290-292,SCF COLUMBIA SC 290
"293, 296",SCF GREENVILLE SC 296
294,CHARLESTON SC 294
295,FLORENCE SC 295
"298, 308, 309",SCF AUGUSTA GA 308
"299, 313, 314",SCF SAVANNAH GA 313
"300, 301",SCF NORTH METRO GA 300
"302, 303, 311, 399",SCF ATLANTA GA 303
304,SWAINSBORO GA 304
"305, 306",SCF ATHENS GA 306
"307, 373, 374",SCF CHATTANOOGA TN 373
"310, 312",SCF MACON GA 310
315,WAYCROSS GA 315
316,VALDOSTA GA 316
"317, 398",SCF ALBANY GA 317
"318, 319",SCF COLUMBUS GA 318
"320, 322",SCF JACKSONVILLE FL 320
321,DAYTONA BEACH FL 321
323,TALLAHASSEE FL 323
324,PANAMA CITY FL 324
325,PENSACOLA FL 325
"326, 344",SCF GAINESVILLE FL 326
327,MID-FLORIDA FL 327
"328, 329, 347",SCF ORLANDO FL 328
330,SOUTH FLORIDA FL 330
"331, 332",SCF MIAMI FL 331
333,FT LAUDERDALE FL 333
"334, 349",SCF WEST PALM BCH FL 334
"335, 336, 346",SCF TAMPA FL 335
337,ST PETERSBURG FL 337
338,LAKELAND FL 338
"339, 341",SCF FT MYERS FL 339
342,MANASOTA FL 342
"350-352, 355, 359",SCF BIRMINGHAM AL 350
354,TUSCALOOSA AL 354
356-358,SCF HUNTSVILLE AL 357
"360, 361, 367, 368",SCF MONTGOMERY AL 360
362,ANNISTON AL 362
363,DOTHAN AL 363
364,EVERGREEN AL 364
"365, 366",SCF MOBILE AL 365
"369, 393",SCF MERIDIAN MS 393
370-372,SCF NASHVILLE TN 370
"375, 380, 381, 386, 723",SCF MEMPHIS TN 380
376,JOHNSON CITY TN 376
377-379,SCF KNOXVILLE TN 377
382,MCKENZIE TN 382
383,JACKSON TN 383
384,COLUMBIA TN 384
385,COOKEVILLE TN 385
387,GREENVILLE MS 387
388,TUPELO MS 388
389,GRENADA MS 389
390-392,SCF JACKSON MS 390
394,HATTIESBURG MS 394
395,GULFPORT MS 395
396,MCCOMB MS 396
397,COLUMBUS MS 397
"400-402, 471",SCF LOUISVILLE KY 400
403-406,SCF LEXINGTON KY 403
407-409,SCF LONDON KY 407
"410, 450-452, 459, 470",SCF CINCINNATI OH 450
"411, 412",SCF ASHLAND KY 411
"413, 414",SCF CAMPTON KY 413
"415, 416",SCF PIKEVILLE KY 415
"417, 418",SCF HAZARD KY 417
420,PADUCAH KY 420
"421, 422",SCF BOWLING GREEN KY 421
423,OWENSBORO KY 423
"424, 476, 477",SCF EVANSVILLE IN 476
"425, 426",SCF SOMERSET KY 425
427,ELIZABETHTOWN KY 427
430-433,SCF COLUMBUS OH 430
434-436,SCF TOLEDO OH 434
"437, 438",SCF ZANESVILLE OH 437
439,STEUBENVILLE OH 439
"440, 441",SCF CLEVELAND OH 440
"442, 443",SCF AKRON OH 442
"444, 445",SCF YOUNGSTOWN OH 444
"446, 447",SCF CANTON OH 446
"448, 449",SCF MANSFIELD OH 448
453-455,SCF DAYTON OH 453
456,CHILLICOTHE OH 456
457,ATHENS OH 457
458,LIMA OH 458
460-462,SCF INDIANAPOLIS IN 460
"463, 464",SCF GARY IN 463
"465, 466",SCF SOUTH BEND IN 465
"467, 468",SCF FORT WAYNE IN 467
469,KOKOMO IN 469
472,COLUMBUS IN 472
473,MUNCIE IN 473
474,BLOOMINGTON IN 474
"475, 478",SCF TERRE HAUTE IN 478
479,LAFAYETTE IN 479
"480, 483",SCF ROYAL OAK MI 480
"481, 482",SCF DETROIT MI 481
"484, 485",SCF FLINT MI 484
"486, 487",SCF SAGINAW MI 486
"488, 489",SCF LANSING MI 488
"490, 491",SCF KALAMAZOO MI 490
492,JACKSON MI 492
493-495,SCF GRAND RAPIDS MI 493
496,TRAVERSE CITY MI 496
497,GAYLORD MI 497
"498, 499",SCF IRON MOUNTAIN MI 498
"500-503, 509, 525",SCF DES MOINES IA 500
"504, 506, 507",SCF WATERLOO IA 506
505,FORT DODGE IA 505
508,CRESTON IA 508
510-513,SCF SIOUX CITY IA 510
514,CARROLL IA 514
"515, 516, 680, 681",SCF OMAHA NE 680
520,DUBUQUE IA 520
521,DECORAH IA 521
522-524,SCF CEDAR RAPIDS IA 522
526,BURLINGTON IA 526
"527, 528, 612",SCF QUAD CITIES IL 612
"530-532, 534",SCF MILWAUKEE WI 530
"535, 537, 538",SCF MADISON WI 535
539,PORTAGE WI 539
"540, 550, 551",SCF ST PAUL MN 550
541-543,SCF GREEN BAY WI 541
544,WAUSAU WI 544
545,RHINELANDER WI 545
546,LA CROSSE WI 546
547,EAU CLAIRE WI 547
548,SPOONER WI 548
549,OSHKOSH WI 549
553-555,SCF MINNEAPOLIS MN 553
556-558,SCF DULUTH MN 556
559,ROCHESTER MN 559
"560, 561",SCF MANKATO MN 560
562,WILLMAR MN 562
563,ST CLOUD MN 563
564,BRAINERD MN 564
565,DETROIT LAKES MN 565
566,BEMIDJI MN 566
"567, 582",SCF GRAND FORKS ND 582
"570, 571",SCF SIOUX FALLS SD 570
"572, 573",SCF DAKOTA CENTRAL SD 572
574,ABERDEEN SD 574
575,PIERRE SD 575
576,MOBRIDGE SD 576
577,RAPID CITY SD 577
"580, 581",SCF FARGO ND 580
583,DEVILS LAKE ND 583
584,JAMESTOWN ND 584
"585, 586",SCF BISMARCK ND 585
587,MINOT ND 587
588,WILLISTON ND 588
"590, 591, 821",SCF BILLINGS MT 590
592,WOLF POINT MT 592
593,MILES CITY MT 593
594,GREAT FALLS MT 594
595,HAVRE MT 595
596,HELENA MT 596
597,BUTTE MT 597
598,MISSOULA MT 598
599,KALISPELL MT 599
"600, 602",SCF PALATINE IL 600
"601, 603",SCF CAROL STREAM IL 601
604,S SUBURBAN IL 604
605,FOX VALLEY IL 605
606-608,SCF CHICAGO IL 606
609,KANKAKEE IL 609
"610, 611",SCF ROCKFORD IL 610
613,LA SALLE IL 613
614,GALESBURG IL 614
"615, 616",SCF PEORIA IL 615
617,BLOOMINGTON IL 617
"618, 619",SCF CHAMPAIGN IL 618
"620, 622, 630, 631, 633",SCF ST LOUIS MO 630
"623, 634, 635",SCF QUINCY IL 623
624,EFFINGHAM IL 624
625-627,SCF SPRINGFIELD IL 625
628,CENTRALIA IL 628
629,CARBONDALE IL 629
636-639,SCF CAPE GIRARDEAU MO 637
"640, 641, 649",SCF KANSAS CITY MO 640
"644, 645",SCF ST JOSEPH MO 644
646,CHILLICOTHE MO 646
647,HARRISONVILLE MO 647
"648, 654-658",SCF SPRINGFIELD MO 656
650-653,SCF MID-MISSOURI MO 650
660-662,SCF KANSAS CITY KS 660
"664-666, 668",SCF TOPEKA KS 664
667,FT SCOTT KS 667
"669, 674",SCF SALINA KS 674
670-672,SCF WICHITA KS 670
673,INDEPENDENCE KS 673
675,HUTCHINSON KS 675
676,HAYS KS 676
677,COLBY KS 677
678,DODGE CITY KS 678
"679, 739",SCF LIBERAL KS 679
683-685,SCF LINCOLN NE 683
"686, 687",SCF NORFOLK NE 687
"688, 689",SCF GRAND ISLAND NE 688
690,MC COOK NE 690
691,NORTH PLATTE NE 691
692,VALENTINE NE 692
693,ALLIANCE NE 693
"700, 701",SCF NEW ORLEANS LA 700
703,HOUMA LA 703
704,MANDEVILLE LA 704
705,LAFAYETTE LA 705
706,LAKE CHARLES LA 706
"707, 708",SCF BATON ROUGE LA 707
"710, 711",SCF SHREVEPORT LA 710
712,MONROE LA 712
"713, 714",SCF ALEXANDRIA LA 713
716,PINE BLUFF AR 716
717,CAMDEN AR 717
"718, 755",SCF TEXARKANA TX 755
719,HOT SPRINGS NTL PK AR 719
720-722,SCF LITTLE ROCK AR 720
724,NE ARKANSAS AR 724
725,BATESVILLE AR 725
726,HARRISON AR 726
727,NW ARKANSAS AR 727
728,RUSSELLVILLE AR 728
729,FORT SMITH AR 729
"730, 731",SCF OKLAHOMA CITY OK 730
"733, 786, 787, 789",SCF AUSTIN TX 786
734,ARDMORE OK 734
735,LAWTON OK 735
736,CLINTON OK 736
737,ENID OK 737
738,WOODWARD OK 738
"740, 741, 743",SCF TULSA OK 740
744,MUSKOGEE OK 744
745,MCALESTER OK 745
746,PONCA CITY OK 746
747,DURANT OK 747
748,SHAWNEE OK 748
749,POTEAU OK 749
750,NORTH TEXAS TX 750
751-753,SCF DALLAS TX 752
754,GREENVILLE TX 754
"756, 757",SCF EAST TEXAS TX 757
758,PALESTINE TX 758
759,LUFKIN TX 759
"760-762, 764",SCF FT WORTH TX 760
763,WICHITA FALLS TX 763
765-767,SCF WACO TX 766
"768, 795, 796",SCF ABILENE TX 795
"769, 797",SCF MIDLAND TX 797
770-772,SCF HOUSTON TX 770
773-775,SCF NORTH HOUSTON TX 773
"776, 777",SCF BEAUMONT TX 776
778,BRYAN TX 778
779,VICTORIA TX 779
"780-782, 788",SCF SAN ANTONIO TX 780
"783, 784",SCF CORPUS CHRISTI TX 783
785,MCALLEN TX 785
"790, 791",SCF AMARILLO TX 790
792,CHILDRESS TX 792
"793, 794",SCF LUBBOCK TX 793
"798, 799, 885",SCF EL PASO TX 798
"800-804, 806, 807",SCF DENVER CO 800
805,LONGMONT CO 805
808-810,SCF COLORADO SPGS CO 808
811,ALAMOSA CO 811
812,SALIDA CO 812
813,DURANGO CO 813
"814, 815",SCF GRAND JUNCTION CO 814
816,GLENWOOD SPRINGS CO 816
820,CHEYENNE WY 820
822,WHEATLAND WY 822
823,RAWLINS WY 823
824,WORLAND WY 824
825,RIVERTON WY 825
826,CASPER WY 826
827,GILLETTE WY 827
828,SHERIDAN WY 828
829-831,SCF ROCK SPRINGS WY 829
"832, 834",SCF POCATELLO ID 832
833,TWIN FALLS ID 833
"835, 994",SCF LEWISTON ID 835
"836, 837, 979",SCF BOISE ID 836
"838, 990-992",SCF SPOKANE WA 990
840-844,SCF SALT LAKE CTY UT 840
845-847,SCF PROVO UT 845
"850, 852, 853",SCF PHOENIX AZ 852
855,GLOBE AZ 855
"856, 857",SCF TUCSON AZ 856
859,SHOW LOW AZ 859
860,FLAGSTAFF AZ 860
863,PRESCOTT AZ 863
864,KINGMAN AZ 864
"865, 873",SCF GALLUP NM 873
"870-872, 875",SCF ALBUQUERQUE NM 870
874,FARMINGTON NM 874
877,LAS VEGAS NM 877
878,SOCORRO NM 878
879,TRUTH OR CONS NM 879
880,LAS CRUCES NM 880
881,CLOVIS NM 881
882,ROSWELL NM 882
883,ALAMOGORDO NM 883
884,TUCUMCARI NM 884
889-891,SCF LAS VEGAS NV 890
893,ELY NV 893
"894, 895, 897, 961",SCF RENO NV 894
898,ELKO NV 898
"900, 901",SCF LOS ANGELES CA 900
902-904,SCF INGLEWOOD CA 902
905-908,SCF LONG BEACH CA 907
910-912,SCF PASADENA CA 910
913-916,SCF VAN NUYS CA 913
"917, 918",SCF INDUSTRY CA 917
919-921,SCF SAN DIEGO CA 920
922-925,SCF SN BERNARDINO CA 923
"926, 927",SCF SANTA ANA CA 926
928,ANAHEIM CA 928
930,OXNARD CA 930
"931, 934",SCF SANTA BARBARA CA 931
"932, 933",SCF BAKERSFIELD CA 932
935,MOJAVE CA 935
936-938,SCF FRESNO CA 936
939,SALINAS CA 939
"940, 941, 943, 944",SCF SAN FRANCISCO CA 940
"942, 956-958",SCF SACRAMENTO CA 956
945-948,SCF OAKLAND CA 945
"949, 954",SCF NORTH BAY CA 949
"950, 951",SCF SAN JOSE CA 950
"952, 953",SCF STOCKTON CA 952
955,EUREKA CA 955
959,MARYSVILLE CA 959
960,REDDING CA 960
"967, 968",SCF HONOLULU HI 967
969,BARRIGADA GU 969
"970-972, 986",SCF PORTLAND OR 970
973,SALEM OR 973
974,EUGENE OR 974
975,MEDFORD OR 975
976,KLAMATH FALLS OR 976
977,BEND OR 977
978,PENDLETON OR 978
"980, 981",SCF SEATTLE WA 980
982,EVERETT WA 982
"983, 984",SCF TACOMA WA 983
985,OLYMPIA WA 985
988,WENATCHEE WA 988
989,YAKIMA WA 989
993,PASCO WA 993
"995, 996",SCF ANCHORAGE AK 995
997,FAIRBANKS AK 997
998,JUNEAU AK 998
999,KETCHIKAN AK 999
